irradiance,voltage,current,power,temperature,mppt_reference_voltage,efficiency,power_deviation,condition,data_origin
914.374,17.4439,1.0476,18.0861,16.991,18.5373,0.9741,0.0259,Normal,synthetic PV simulation; not hardware measurement
534.204,16.3703,0.6462,10.2493,61.45,16.325,1.0495,-0.0495,Normal,synthetic PV simulation; not hardware measurement
460.702,18.6608,0.4682,8.7218,24.33,17.9577,0.9586,0.0414,Normal,synthetic PV simulation; not hardware measurement
674.51,18.9465,0.7089,13.3422,36.057,17.5565,1.0185,-0.0185,Normal,synthetic PV simulation; not hardware measurement
939.941,20.9149,0.9317,19.0426,19.747,18.4117,1.0027,-0.0027,Normal,synthetic PV simulation; not hardware measurement
1002.582,18.713,1.0664,18.4957,18.121,18.5119,0.909,0.091,Normal,synthetic PV simulation; not hardware measurement
482.029,18.0804,0.5608,9.5101,28.854,17.7698,1.0074,-0.0074,Normal,synthetic PV simulation; not hardware measurement
476.085,17.2276,0.5638,9.8021,34.062,17.5272,1.063,-0.063,Normal,synthetic PV simulation; not hardware measurement
481.177,16.2983,0.4789,7.9988,59.841,16.3559,0.908,0.092,Normal,synthetic PV simulation; not hardware measurement
835.49,17.7668,0.8377,14.4262,39.254,17.4872,0.8912,0.1088,Normal,synthetic PV simulation; not hardware measurement
833.738,18.4614,0.8541,15.5745,34.095,17.7212,0.9539,0.0461,Normal,synthetic PV simulation; not hardware measurement
646.497,16.4905,0.7237,11.567,62.289,16.3544,0.9766,0.0234,Normal,synthetic PV simulation; not hardware measurement
771.261,18.5062,0.8539,16.3973,40.234,17.4207,1.1014,-0.1014,Normal,synthetic PV simulation; not hardware measurement
571.443,19.4879,0.6354,11.7288,17.04,18.3666,1.02,-0.02,Normal,synthetic PV simulation; not hardware measurement
532.445,15.8014,0.5565,8.6521,53.479,16.6872,0.873,0.127,Normal,synthetic PV simulation; not hardware measurement
804.046,16.226,0.9173,14.599,42.339,17.3311,0.944,0.056,Normal,synthetic PV simulation; not hardware measurement
929.547,18.9719,0.9499,18.739,18.346,18.4823,0.9952,0.0048,Normal,synthetic PV simulation; not hardware measurement
701.165,16.2378,0.8276,12.4474,59.613,16.4993,0.9614,0.0386,Normal,synthetic PV simulation; not hardware measurement
638.664,17.4398,0.7586,13.3877,35.209,17.5729,1.0786,-0.0786,Normal,synthetic PV simulation; not hardware measurement
1011.684,16.7862,1.2225,19.821,64.291,16.4151,1.0641,-0.0641,Normal,synthetic PV simulation; not hardware measurement
960.32,17.0286,0.9948,15.974,48.363,17.1186,0.8729,0.1271,Normal,synthetic PV simulation; not hardware measurement
627.215,15.5726,0.6383,8.825,60.677,16.4156,0.7656,0.2344,Normal,synthetic PV simulation; not hardware measurement
977.52,15.9087,1.1301,16.7614,64.953,16.371,0.9333,0.0667,Normal,synthetic PV simulation; not hardware measurement
988.22,17.4797,1.0452,17.0274,53.169,16.9116,0.9132,0.0868,Normal,synthetic PV simulation; not hardware measurement
471.698,16.0832,0.5057,7.8737,54.479,16.5923,0.9011,0.0989,Normal,synthetic PV simulation; not hardware measurement
930.578,16.5622,1.1005,18.2279,56.413,16.7499,1.0469,-0.0469,Normal,synthetic PV simulation; not hardware measurement
960.679,17.9999,1.0301,16.5946,26.35,18.1202,0.8658,0.1342,Normal,synthetic PV simulation; not hardware measurement
482.7,16.482,0.5399,8.9888,49.608,16.8239,0.9939,0.0061,Normal,synthetic PV simulation; not hardware measurement
1038.016,17.1362,1.2333,20.7245,42.338,17.4243,1.0327,-0.0327,Normal,synthetic PV simulation; not hardware measurement
796.81,18.9909,0.869,17.8554,19.867,18.3504,1.1128,-0.1128,Normal,synthetic PV simulation; not hardware measurement
521.531,17.6842,0.5809,9.7591,34.679,17.5362,0.9656,0.0344,Normal,synthetic PV simulation; not hardware measurement
695.27,17.4514,0.7195,12.1862,13.911,18.5776,0.8625,0.1375,Normal,synthetic PV simulation; not hardware measurement
793.475,17.5345,0.8525,15.2026,46.579,17.1327,1.0055,-0.0055,Normal,synthetic PV simulation; not hardware measurement
708.851,16.9256,0.9211,15.1291,51.045,16.894,1.1337,-0.1337,Normal,synthetic PV simulation; not hardware measurement
762.165,17.2191,0.8838,15.9004,38.19,17.5091,1.0764,-0.0764,Normal,synthetic PV simulation; not hardware measurement
483.341,17.0224,0.5395,8.0653,28.636,17.7808,0.8516,0.1484,Normal,synthetic PV simulation; not hardware measurement
963.929,18.3348,1.088,20.8189,18.343,18.4859,1.0654,-0.0654,Normal,synthetic PV simulation; not hardware measurement
913.263,17.5104,1.0308,18.3844,32.556,17.8283,1.0228,-0.0228,Normal,synthetic PV simulation; not hardware measurement
765.053,16.4057,0.7999,13.7919,64.424,16.3156,0.9852,0.0148,Normal,synthetic PV simulation; not hardware measurement
534.958,17.6601,0.6136,9.7849,52.032,16.7551,0.9794,0.0206,Normal,synthetic PV simulation; not hardware measurement
558.556,17.4301,0.6559,10.0233,27.479,17.8815,0.9111,0.0889,Normal,synthetic PV simulation; not hardware measurement
500.469,15.9092,0.5281,8.3543,46.405,16.9846,0.8841,0.1159,Normal,synthetic PV simulation; not hardware measurement
669.965,18.0127,0.8235,15.0712,37.576,17.4846,1.1621,-0.1621,Normal,synthetic PV simulation; not hardware measurement
995.731,16.9627,1.0078,16.1726,38.437,17.5848,0.834,0.166,Normal,synthetic PV simulation; not hardware measurement
1000.403,18.3075,1.0287,18.0873,22.155,18.3275,0.898,0.102,Normal,synthetic PV simulation; not hardware measurement
634.521,16.137,0.6678,10.4563,49.261,16.9406,0.8739,0.1261,Normal,synthetic PV simulation; not hardware measurement
736.504,16.1323,0.8104,13.3194,63.05,16.3627,0.9861,0.0139,Normal,synthetic PV simulation; not hardware measurement
889.448,15.3912,0.9594,15.3093,63.4,16.4134,0.9355,0.0645,Normal,synthetic PV simulation; not hardware measurement
899.99,16.4762,0.9386,14.0908,53.199,16.8826,0.8315,0.1685,Normal,synthetic PV simulation; not hardware measurement
1036.75,17.576,1.1344,18.5272,41.439,17.4646,0.9226,0.0774,Normal,synthetic PV simulation; not hardware measurement
472.182,15.4933,0.5494,7.634,47.791,16.8977,0.8599,0.1401,Normal,synthetic PV simulation; not hardware measurement
893.659,17.5456,1.007,16.5929,44.961,17.2547,0.9687,0.0313,Normal,synthetic PV simulation; not hardware measurement
856.372,17.0738,0.8466,15.419,47.595,17.1175,0.9455,0.0545,Normal,synthetic PV simulation; not hardware measurement
962.007,17.793,0.9096,15.6889,26.566,18.1109,0.8178,0.1822,Normal,synthetic PV simulation; not hardware measurement
655.156,16.8843,0.7458,13.2958,27.707,17.925,1.0276,-0.0276,Normal,synthetic PV simulation; not hardware measurement
1048.548,16.3908,1.0556,17.2117,60.511,16.6016,0.8832,0.1168,Normal,synthetic PV simulation; not hardware measurement
490.3,17.7402,0.5482,8.9733,45.631,17.0116,0.968,0.032,Normal,synthetic PV simulation; not hardware measurement
901.178,17.1045,0.9886,17.1154,24.46,18.1914,0.9495,0.0505,Normal,synthetic PV simulation; not hardware measurement
895.391,18.9538,1.0116,19.1365,24.793,18.1736,1.0694,-0.0694,Normal,synthetic PV simulation; not hardware measurement
786.894,18.1935,0.8474,14.6598,37.242,17.5544,0.9587,0.0413,Normal,synthetic PV simulation; not hardware measurement
561.108,16.8263,0.675,11.5278,62.634,16.2811,1.1257,-0.1257,Normal,synthetic PV simulation; not hardware measurement
1025.865,17.8041,1.0672,18.2495,15.473,18.6417,0.8716,0.1284,Normal,synthetic PV simulation; not hardware measurement
480.576,15.9755,0.5438,7.8484,49.004,16.8496,0.8706,0.1294,Normal,synthetic PV simulation; not hardware measurement
699.966,18.5847,0.7607,13.8666,12.065,18.6644,0.9712,0.0288,Normal,synthetic PV simulation; not hardware measurement
708.796,16.9486,0.6987,10.8335,29.092,17.8939,0.775,0.225,Normal,synthetic PV simulation; not hardware measurement
586.952,17.8096,0.6781,11.1015,36.421,17.4941,0.9773,0.0227,Normal,synthetic PV simulation; not hardware measurement
532.923,18.1279,0.5418,9.3266,13.658,18.4923,0.8651,0.1349,Normal,synthetic PV simulation; not hardware measurement
791.527,16.5717,0.8088,11.9596,57.229,16.6469,0.8118,0.1882,Normal,synthetic PV simulation; not hardware measurement
963.295,17.8828,1.0942,18.421,43.981,17.3192,0.9941,0.0059,Normal,synthetic PV simulation; not hardware measurement
641.039,18.2669,0.7419,12.7155,33.943,17.6321,1.0178,-0.0178,Normal,synthetic PV simulation; not hardware measurement
657.887,17.5108,0.7441,13.1335,49.529,16.9327,1.0585,-0.0585,Normal,synthetic PV simulation; not hardware measurement
806.298,18.3237,0.8544,15.5899,21.166,18.2961,0.9624,0.0376,Normal,synthetic PV simulation; not hardware measurement
459.948,17.4036,0.536,8.3297,59.557,16.3605,0.9895,0.0105,Normal,synthetic PV simulation; not hardware measurement
613.912,16.0447,0.633,9.7983,47.172,17.0224,0.8431,0.1569,Normal,synthetic PV simulation; not hardware measurement
588.768,18.0024,0.663,12.1415,41.338,17.2713,1.0767,-0.0767,Normal,synthetic PV simulation; not hardware measurement
790.163,17.3196,0.7992,13.3539,39.273,17.4636,0.8733,0.1267,Normal,synthetic PV simulation; not hardware measurement
694.777,16.7243,0.7551,11.9183,48.177,17.0165,0.9059,0.0941,Normal,synthetic PV simulation; not hardware measurement
569.725,15.812,0.5608,9.1615,58.553,16.4732,0.8726,0.1274,Normal,synthetic PV simulation; not hardware measurement
888.682,16.5739,1.0461,15.729,59.911,16.5719,0.9544,0.0456,Normal,synthetic PV simulation; not hardware measurement
572.638,19.4177,0.6184,12.4946,31.989,17.6861,1.1176,-0.1176,Normal,synthetic PV simulation; not hardware measurement
641.479,18.9778,0.7327,13.6126,43.894,17.1897,1.1121,-0.1121,Normal,synthetic PV simulation; not hardware measurement
676.324,16.568,0.7709,11.497,48.282,17.0008,0.8984,0.1016,Normal,synthetic PV simulation; not hardware measurement
509.355,17.5998,0.5541,9.0225,22.711,18.0724,0.8923,0.1077,Normal,synthetic PV simulation; not hardware measurement
605.664,16.624,0.5924,10.1835,46.584,17.0437,0.8873,0.1127,Normal,synthetic PV simulation; not hardware measurement
626.864,15.8728,0.6731,10.6647,64.182,16.2556,0.9333,0.0667,Normal,synthetic PV simulation; not hardware measurement
532.676,16.9964,0.5697,8.7556,56.827,16.5347,0.8897,0.1103,Normal,synthetic PV simulation; not hardware measurement
601.953,16.8015,0.6713,11.1814,50.962,16.8416,0.9898,0.0102,Normal,synthetic PV simulation; not hardware measurement
906.009,18.2998,1.0316,19.5129,18.395,18.4697,1.0638,-0.0638,Normal,synthetic PV simulation; not hardware measurement
957.887,18.0168,1.1206,20.14,24.999,18.1805,1.0511,-0.0511,Normal,synthetic PV simulation; not hardware measurement
768.51,17.2573,0.7563,11.9906,61.821,16.436,0.8476,0.1524,Normal,synthetic PV simulation; not hardware measurement
744.365,18.2672,0.8478,15.3146,18.983,18.3743,1.0212,-0.0212,Normal,synthetic PV simulation; not hardware measurement
1021.923,18.6959,1.196,20.8853,25.419,18.1877,1.0213,-0.0213,Normal,synthetic PV simulation; not hardware measurement
642.92,17.7534,0.6819,11.6854,40.19,17.3487,0.9449,0.0551,Normal,synthetic PV simulation; not hardware measurement
894.969,16.6345,1.0599,17.92,30.094,17.9321,1.0127,-0.0127,Normal,synthetic PV simulation; not hardware measurement
823.625,16.1946,0.9395,14.1323,60.961,16.4932,0.9289,0.0711,Normal,synthetic PV simulation; not hardware measurement
1046.021,18.2376,1.0961,19.3819,18.839,18.4965,0.9135,0.0865,Normal,synthetic PV simulation; not hardware measurement
1003.111,16.1742,1.0681,16.8562,46.977,17.1993,0.8784,0.1216,Normal,synthetic PV simulation; not hardware measurement
655.628,18.22,0.7551,13.905,14.133,18.5436,1.0453,-0.0453,Normal,synthetic PV simulation; not hardware measurement
845.997,17.4331,1.0321,17.4445,51.141,16.9511,1.0915,-0.0915,Normal,synthetic PV simulation; not hardware measurement
755.36,17.8197,0.8899,15.7095,30.145,17.8718,1.0554,-0.0554,Normal,synthetic PV simulation; not hardware measurement
505.034,18.5227,0.568,10.3142,13.048,18.5097,1.0093,-0.0093,Normal,synthetic PV simulation; not hardware measurement
966.378,17.3437,1.0261,16.4782,26.583,18.112,0.855,0.145,Normal,synthetic PV simulation; not hardware measurement
996.196,16.0702,1.1558,18.5383,62.505,16.4901,1.0069,-0.0069,Normal,synthetic PV simulation; not hardware measurement
642.295,19.1647,0.7103,13.8924,13.231,18.5763,1.0645,-0.0645,Normal,synthetic PV simulation; not hardware measurement
716.366,18.0762,0.8268,13.8551,40.861,17.3622,1.0048,-0.0048,Normal,synthetic PV simulation; not hardware measurement
596.523,15.5886,0.684,10.885,63.845,16.2508,1.0013,-0.0013,Normal,synthetic PV simulation; not hardware measurement
738.365,17.1599,0.8925,15.1082,27.334,17.9906,1.0329,-0.0329,Normal,synthetic PV simulation; not hardware measurement
581.314,17.9353,0.6857,11.7671,12.398,18.5851,0.9965,0.0035,Normal,synthetic PV simulation; not hardware measurement
532.997,15.7904,0.5657,8.8085,64.926,16.1656,0.9113,0.0887,Normal,synthetic PV simulation; not hardware measurement
821.801,18.1509,0.9748,16.1407,19.314,18.3882,0.9737,0.0263,Normal,synthetic PV simulation; not hardware measurement
848.072,16.6647,0.858,13.484,34.445,17.7122,0.8122,0.1878,Normal,synthetic PV simulation; not hardware measurement
841.612,16.8756,1.0444,16.5526,50.576,16.9747,1.0399,-0.0399,Normal,synthetic PV simulation; not hardware measurement
704.866,16.7025,0.7865,12.8795,53.736,16.7691,0.9765,0.0235,Normal,synthetic PV simulation; not hardware measurement
642.927,17.3772,0.7104,12.2984,59.331,16.487,1.0372,-0.0372,Normal,synthetic PV simulation; not hardware measurement
542.115,18.5487,0.5557,9.3097,12.027,18.5736,0.8459,0.1541,Normal,synthetic PV simulation; not hardware measurement
841.355,17.4016,0.927,14.5946,57.622,16.6538,0.9316,0.0684,Normal,synthetic PV simulation; not hardware measurement
505.654,16.6162,0.6037,9.7929,51.873,16.7394,1.0379,-0.0379,Normal,synthetic PV simulation; not hardware measurement
670.743,17.222,0.7039,12.4954,18.302,18.363,0.9253,0.0747,Normal,synthetic PV simulation; not hardware measurement
943.865,17.5181,1.1097,17.8693,46.638,17.19,0.9902,0.0098,Normal,synthetic PV simulation; not hardware measurement
1035.357,15.6721,1.0055,14.3086,46.772,17.2215,0.7217,0.2783,Normal,synthetic PV simulation; not hardware measurement
780.545,19.7616,0.8763,15.6042,14.621,18.5809,0.983,0.017,Normal,synthetic PV simulation; not hardware measurement
701.194,17.8016,0.7164,12.0672,32.425,17.7377,0.8787,0.1213,Normal,synthetic PV simulation; not hardware measurement
788.457,17.582,0.9084,14.5968,23.251,18.1921,0.9257,0.0743,Normal,synthetic PV simulation; not hardware measurement
984.158,20.3223,1.2151,24.678,15.153,18.6394,1.2288,-0.2288,Normal,synthetic PV simulation; not hardware measurement
857.716,18.7804,0.8895,15.267,34.405,17.7186,0.909,0.091,Normal,synthetic PV simulation; not hardware measurement
642.238,17.8245,0.6613,11.1463,26.035,17.9931,0.8762,0.1238,Normal,synthetic PV simulation; not hardware measurement
1007.8,15.3554,1.0828,15.2158,44.837,17.2986,0.7856,0.2144,Normal,synthetic PV simulation; not hardware measurement
941.885,18.2903,1.0636,17.8744,33.267,17.7975,0.9651,0.0349,Normal,synthetic PV simulation; not hardware measurement
933.715,16.5346,0.9727,15.7246,38.165,17.5819,0.8653,0.1347,Normal,synthetic PV simulation; not hardware measurement
800.852,18.9034,0.8736,15.9535,17.474,18.4614,0.9845,0.0155,Normal,synthetic PV simulation; not hardware measurement
695.202,16.9604,0.739,13.2188,61.437,16.4127,1.0342,-0.0342,Normal,synthetic PV simulation; not hardware measurement
790.761,17.6746,0.8851,15.9581,28.998,17.9317,1.0208,-0.0208,Normal,synthetic PV simulation; not hardware measurement
549.638,17.8077,0.6106,9.9015,41.822,17.2212,0.9428,0.0572,Normal,synthetic PV simulation; not hardware measurement
1006.503,16.7739,1.1798,17.677,62.113,16.5121,0.9492,0.0508,Normal,synthetic PV simulation; not hardware measurement
452.771,18.4496,0.4983,8.546,13.406,18.4488,0.9354,0.0646,Normal,synthetic PV simulation; not hardware measurement
729.454,17.1963,0.8509,13.9058,58.574,16.5627,1.0291,-0.0291,Normal,synthetic PV simulation; not hardware measurement
546.353,15.5767,0.5281,7.789,63.167,16.2559,0.7825,0.2175,Normal,synthetic PV simulation; not hardware measurement
806.564,17.5045,0.7219,12.4892,37.533,17.5512,0.7969,0.2031,Normal,synthetic PV simulation; not hardware measurement
704.988,14.9391,0.7827,10.8688,54.122,16.7516,0.8246,0.1754,Normal,synthetic PV simulation; not hardware measurement
974.601,16.7606,1.0856,17.5475,48.577,17.1148,0.945,0.055,Normal,synthetic PV simulation; not hardware measurement
821.229,18.3086,0.9754,16.5628,23.359,18.2037,1.0079,-0.0079,Normal,synthetic PV simulation; not hardware measurement
508.086,16.8426,0.5915,10.7781,63.644,16.2046,1.1675,-0.1675,Normal,synthetic PV simulation; not hardware measurement
830.541,16.6337,1.0185,15.4583,40.334,17.4356,0.963,0.037,Normal,synthetic PV simulation; not hardware measurement
873.478,16.6208,0.9845,15.5395,61.601,16.4879,0.9633,0.0367,Normal,synthetic PV simulation; not hardware measurement
543.455,17.2661,0.6023,9.7444,33.053,17.6163,0.9214,0.0786,Normal,synthetic PV simulation; not hardware measurement
636.393,18.5636,0.7358,13.6017,16.997,18.401,1.0599,-0.0599,Normal,synthetic PV simulation; not hardware measurement
1035.539,17.2953,1.0602,16.9514,54.177,16.8847,0.8687,0.1313,Normal,synthetic PV simulation; not hardware measurement
1033.082,18.0501,0.964,17.2948,32.476,17.871,0.8484,0.1516,Normal,synthetic PV simulation; not hardware measurement
496.462,17.1029,0.5321,8.9375,44.448,17.0706,0.9495,0.0505,Normal,synthetic PV simulation; not hardware measurement
1035.442,17.1516,1.1364,19.9938,63.791,16.4472,1.047,-0.047,Normal,synthetic PV simulation; not hardware measurement
487.997,16.8918,0.5717,9.8211,40.473,17.2449,1.0528,-0.0528,Normal,synthetic PV simulation; not hardware measurement
820.673,18.1884,0.995,17.5857,16.801,18.502,1.0571,-0.0571,Normal,synthetic PV simulation; not hardware measurement
676.986,17.8015,0.7141,12.0092,28.999,17.8795,0.9001,0.0999,Normal,synthetic PV simulation; not hardware measurement
587.187,18.2792,0.6329,11.9995,21.959,18.1535,1.025,-0.025,Normal,synthetic PV simulation; not hardware measurement
754.916,17.0674,0.7084,11.2974,37.331,17.5443,0.7709,0.2291,Normal,synthetic PV simulation; not hardware measurement
586.781,17.2901,0.6459,11.4917,36.857,17.4741,1.0129,-0.0129,Normal,synthetic PV simulation; not hardware measurement
943.328,17.8744,1.0292,18.4484,45.811,17.2274,1.0211,-0.0211,Normal,synthetic PV simulation; not hardware measurement
847.518,18.6306,0.9007,15.4597,34.529,17.7081,0.932,0.068,Normal,synthetic PV simulation; not hardware measurement
725.826,17.2893,0.6629,10.4746,22.525,18.2027,0.7217,0.2783,Normal,synthetic PV simulation; not hardware measurement
613.552,19.6368,0.6321,11.4728,22.476,18.1477,0.9381,0.0619,Normal,synthetic PV simulation; not hardware measurement
906.328,18.1928,0.9643,16.4102,37.355,17.6067,0.9293,0.0707,Normal,synthetic PV simulation; not hardware measurement
526.366,17.1309,0.5261,8.345,37.5,17.4113,0.8229,0.1771,Normal,synthetic PV simulation; not hardware measurement
718.944,17.8226,0.7755,12.4454,21.347,18.2525,0.8638,0.1362,Normal,synthetic PV simulation; not hardware measurement
901.068,19.2425,0.9332,15.7969,35.258,17.6998,0.896,0.104,Normal,synthetic PV simulation; not hardware measurement
907.893,15.8814,0.9835,15.3726,57.96,16.6694,0.9086,0.0914,Normal,synthetic PV simulation; not hardware measurement
995.165,17.761,1.1776,19.3267,12.838,18.7493,0.9473,0.0527,Normal,synthetic PV simulation; not hardware measurement
790.9,19.0395,0.7659,13.0361,23.934,18.1623,0.8253,0.1747,Normal,synthetic PV simulation; not hardware measurement
973.747,18.4076,1.1122,18.7056,26.209,18.1321,0.9624,0.0376,Normal,synthetic PV simulation; not hardware measurement
784.201,18.7223,0.866,14.518,15.071,18.5623,0.911,0.089,Normal,synthetic PV simulation; not hardware measurement
858.798,17.5143,0.9901,17.2187,26.03,18.1004,1.0065,-0.0065,Normal,synthetic PV simulation; not hardware measurement
938.684,17.7594,0.9419,17.3249,26.024,18.1256,0.9249,0.0751,Normal,synthetic PV simulation; not hardware measurement
915.475,18.4788,1.0414,18.4864,23.293,18.2509,1.0069,-0.0069,Normal,synthetic PV simulation; not hardware measurement
473.187,19.0373,0.4848,8.8048,16.719,18.3157,0.9275,0.0725,Normal,synthetic PV simulation; not hardware measurement
563.302,15.8896,0.5984,9.2831,57.676,16.5086,0.8927,0.1073,Normal,synthetic PV simulation; not hardware measurement
697.106,17.0767,0.8181,13.4673,50.68,16.9038,1.0257,-0.0257,Normal,synthetic PV simulation; not hardware measurement
570.337,16.4256,0.675,10.5029,54.191,16.6725,0.9895,0.0105,Normal,synthetic PV simulation; not hardware measurement
614.481,18.5531,0.6392,12.3386,33.309,17.6546,1.0299,-0.0299,Normal,synthetic PV simulation; not hardware measurement
471.07,18.4471,0.5396,9.4607,23.18,18.0192,1.0141,-0.0141,Normal,synthetic PV simulation; not hardware measurement
586.597,17.382,0.6899,11.3858,44.803,17.1119,1.021,-0.021,Normal,synthetic PV simulation; not hardware measurement
1013.107,16.0049,1.2038,18.5155,39.955,17.5228,0.9411,0.0589,Normal,synthetic PV simulation; not hardware measurement
520.706,16.213,0.5654,8.7859,42.88,17.1615,0.8861,0.1139,Normal,synthetic PV simulation; not hardware measurement
598.035,18.6296,0.6032,11.1428,21.992,18.1594,0.9343,0.0657,Normal,synthetic PV simulation; not hardware measurement
1000.716,19.5312,1.0152,19.727,37.118,17.6469,1.0093,-0.0093,Normal,synthetic PV simulation; not hardware measurement
975.323,16.6186,1.0685,16.8365,63.939,16.4162,0.9375,0.0625,Normal,synthetic PV simulation; not hardware measurement
652.114,18.7032,0.7014,13.1518,13.296,18.5796,0.9924,0.0076,Normal,synthetic PV simulation; not hardware measurement
747.363,18.1564,0.8719,15.948,13.637,18.6195,1.0481,-0.0481,Normal,synthetic PV simulation; not hardware measurement
899.823,16.1591,0.9433,15.1326,58.942,16.6211,0.9046,0.0954,Normal,synthetic PV simulation; not hardware measurement
597.42,15.9118,0.6179,10.2291,49.631,16.8992,0.9099,0.0901,Normal,synthetic PV simulation; not hardware measurement
735.68,16.1109,0.7682,11.6727,59.067,16.5437,0.8573,0.1427,Normal,synthetic PV simulation; not hardware measurement
534.616,17.3241,0.5659,10.3524,29.605,17.7668,0.9883,0.0117,Normal,synthetic PV simulation; not hardware measurement
522.066,17.5147,0.6216,9.9287,19.025,18.2394,0.9505,0.0495,Normal,synthetic PV simulation; not hardware measurement
828.547,16.7931,0.9507,15.0047,49.776,17.0048,0.9562,0.0438,Normal,synthetic PV simulation; not hardware measurement
551.828,17.6302,0.5828,9.6268,25.057,17.987,0.8816,0.1184,Normal,synthetic PV simulation; not hardware measurement
963.846,17.6341,1.0546,17.2506,23.481,18.252,0.8919,0.1081,Normal,synthetic PV simulation; not hardware measurement
791.3,17.5642,0.9117,15.3417,44.348,17.2332,1.0127,-0.0127,Normal,synthetic PV simulation; not hardware measurement
854.85,16.9787,0.9157,14.6222,33.679,17.7503,0.8723,0.1277,Normal,synthetic PV simulation; not hardware measurement
895.744,17.6225,1.0061,16.5529,38.457,17.5517,0.9509,0.0491,Normal,synthetic PV simulation; not hardware measurement
767.195,16.0388,0.8865,13.1618,39.331,17.4597,0.8871,0.1129,Normal,synthetic PV simulation; not hardware measurement
730.992,18.3032,0.7328,12.4964,23.497,18.1614,0.8565,0.1435,Normal,synthetic PV simulation; not hardware measurement
911.546,17.0244,0.9669,16.1127,20.177,18.391,0.8761,0.1239,Normal,synthetic PV simulation; not hardware measurement
645.743,18.0386,0.6942,12.6145,24.226,18.0777,0.9825,0.0175,Normal,synthetic PV simulation; not hardware measurement
959.838,16.9789,0.9263,15.0325,25.273,18.1688,0.7833,0.2167,Normal,synthetic PV simulation; not hardware measurement
1044.167,17.2081,1.1787,20.2419,61.445,16.5574,1.0454,-0.0454,Normal,synthetic PV simulation; not hardware measurement
631.921,17.1717,0.7693,13.3287,60.024,16.4484,1.1459,-0.1459,Normal,synthetic PV simulation; not hardware measurement
